==2385== NVPROF is profiling process 2385, command: ./matrixMul_concurrent --streams=2
==2385== Profiling application: ./matrixMul_concurrent --streams=2
==2385== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
382.73ms  4.2309ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [189]
386.63ms  3.7618ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [196]
390.31ms  3.7259ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [210]
393.75ms  4.2290ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [203]
397.65ms  4.2310ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [217]
401.56ms  3.7425ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [224]
405.01ms  3.7360ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [238]
408.46ms  4.2301ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [231]
412.36ms  4.2339ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [245]
416.27ms  3.7560ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [252]
419.74ms  3.7242ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [266]
423.18ms  4.2399ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [259]
427.28ms  4.2348ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [273]
431.19ms  3.7353ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [280]
434.65ms  3.7298ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [294]
438.09ms  4.2367ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [287]
442.00ms  4.2339ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [301]
445.91ms  3.7587ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [308]
449.38ms  3.7227ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [322]
452.81ms  4.2372ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [315]
456.72ms  4.2328ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [329]
460.67ms  3.7343ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [336]
464.27ms  3.7299ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [350]
467.71ms  4.2365ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [343]
471.62ms  4.2461ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [357]
475.56ms  3.7379ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [364]
479.01ms  3.7270ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [378]
482.45ms  4.2319ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [371]
486.36ms  4.2424ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [385]
490.30ms  3.7262ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [392]
493.74ms  3.7259ms            (44 22 1)       (32 32 1)        36        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        14  void matrixMulCUDA_int<int=32>(int*, int*, int*, int, int) [406]
497.19ms  4.2378ms            (44 22 1)       (32 32 1)        38        0B  0.9766KB         -           -           -           -  Tesla V100-SXM2         1        15  void matrixMulCUDA<int=32>(float*, float*, float*, int, int) [399]

Regs: Number of registers used per CUDA thread. This number includes registers used internally by the CUDA driver and/or tools and can be more than what the compiler shows.
SSMem: Static shared memory allocated per CUDA block.
DSMem: Dynamic shared memory allocated per CUDA block.
SrcMemType: The type of source memory accessed by memory operation/copy
DstMemType: The type of destination memory accessed by memory operation/copy
